"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Mar 13 18:25:26 UZT 2022","Sun Mar 13 18:25:26 UZT 2022","0","","Hard core","","Hard core","Add GPUs","Add GPUs",""
"passed","Sun Mar 13 18:25:12 UZT 2022","Sun Mar 13 18:25:24 UZT 2022","12256","","Hard core","","Hard core","Click on the necessary result","Click on the necessary result",""
"passed","Sun Mar 13 18:25:26 UZT 2022","Sun Mar 13 18:25:27 UZT 2022","1129","","Hard core","","Hard core","Choose datacenter location","Choose datacenter location",""
"passed","Sun Mar 13 18:25:27 UZT 2022","Sun Mar 13 18:25:27 UZT 2022","44","","Hard core","","Hard core","Should have Frankfurt chosen","Should have Frankfurt chosen",""
"passed","Sun Mar 13 18:25:28 UZT 2022","Sun Mar 13 18:25:54 UZT 2022","26767","","Hard core","","Hard core","Open temporary email service","Open temporary email service",""
"passed","Sun Mar 13 18:25:54 UZT 2022","Sun Mar 13 18:25:55 UZT 2022","407","","Hard core","","Hard core","Open email form","Open email form",""
"passed","Sun Mar 13 18:25:25 UZT 2022","Sun Mar 13 18:25:25 UZT 2022","160","","Hard core","","Hard core","Choose the number instances","Choose the number instances",""
"passed","Sun Mar 13 18:25:24 UZT 2022","Sun Mar 13 18:25:25 UZT 2022","316","","Hard core","","Hard core","Activate necessary section","Activate necessary section",""
"passed","Sun Mar 13 18:25:55 UZT 2022","Sun Mar 13 18:25:55 UZT 2022","176","","Hard core","","Hard core","Send Email","Send Email",""
"passed","Sun Mar 13 18:25:25 UZT 2022","Sun Mar 13 18:25:26 UZT 2022","599","","Hard core","","Hard core","Select machine type","Select machine type",""
"passed","Sun Mar 13 18:25:27 UZT 2022","Sun Mar 13 18:25:27 UZT 2022","587","","Hard core","","Hard core","Add to Estimate","Add to Estimate",""
"passed","Sun Mar 13 18:25:27 UZT 2022","Sun Mar 13 18:25:27 UZT 2022","42","","Hard core","","Hard core","Should have commitment: 1 year","Should have commitment: 1 year",""
"passed","Sun Mar 13 18:25:27 UZT 2022","Sun Mar 13 18:25:28 UZT 2022","242","","Hard core","","Hard core","Email Estimate","Email Estimate",""
"passed","Sun Mar 13 18:25:12 UZT 2022","Sun Mar 13 18:25:12 UZT 2022","140","","Hard core","","Hard core","Find and click on search button","Find and click on search button",""
"passed","Sun Mar 13 18:25:02 UZT 2022","Sun Mar 13 18:25:12 UZT 2022","9477","","Hard core","","Hard core","Open Google Cloud Homepage","Open Google Cloud Homepage",""
"passed","Sun Mar 13 18:25:27 UZT 2022","Sun Mar 13 18:25:27 UZT 2022","50","","Hard core","","Hard core","Should have Instance type selected","Should have Instance type selected",""
"skipped","Sun Mar 13 18:25:27 UZT 2022","Sun Mar 13 18:25:27 UZT 2022","0","","Hard core","","Hard core","Should choose SSD input","Should choose SSD input",""
"passed","Sun Mar 13 18:25:12 UZT 2022","Sun Mar 13 18:25:12 UZT 2022","353","","Hard core","","Hard core","Enter search query","Enter search query",""
